2026-06-14 17:03:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-14 17:03:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-14 17:03:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/trendforce/dxi.parquet | rows=4377
2026-06-14 19:40:48 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-14 19:40:48 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-14 19:40:48 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/trendforce/dxi.parquet | rows=4377
2026-06-14 19:43:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-14 19:43:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-14 19:43:19 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/trendforce/dxi.parquet | rows=4377
2026-06-14 19:46:31 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=/Users/tommy/Desktop/Pycharm/FinancialData/data/industry/TrendForce/Index.xlsx | sheet=DXI
2026-06-14 19:46:31 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-14 19:46:31 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=/Users/tommy/Desktop/Pycharm/FinancialData/data_lake/raw/industry/trendforce/dxi.parquet | rows=4377
2026-06-15 09:10:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-15 09:10:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-15 09:10:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\trendforce\dxi.parquet | rows=4377
2026-06-15 09:12:39 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-15 09:12:39 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-15 09:12:39 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\trendforce\dxi.parquet | rows=4377
2026-06-15 09:15:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI data job started | input_path=C:\Users\krm\PycharmProjects\AlternativeData\data\industry\TrendForce\Index.xlsx | sheet=DXI
2026-06-15 09:15:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Excel sheet loaded | rows=4377 | columns=6
2026-06-15 09:15:15 | INFO | src.jobs_xlsx.trendforce.get_dx_dram_index | DXI Parquet saved | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\industry\trendforce\dxi.parquet | rows=4377
