2026-06-12 17:16:23 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=CPIYOY | rows=676 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\USCPI_YoY.parquet
2026-06-12 17:16:23 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=PAYEMS | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\Nonfarm_Payrolls.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=CPIYOY | rows=676 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\USCPI_YoY.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=PAYEMS | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\Nonfarm_Payrolls.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMPMI | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMPMI.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMNEWO | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMNEWO.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMNMI | rows=346 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMNMI.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMNNO | rows=346 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMNNO.parquet
2026-06-12 17:20:45 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMNSD | rows=346 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMNSD.parquet
2026-06-12 17:30:15 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=CPIYOY | rows=676 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\USCPI_YoY.parquet
2026-06-12 17:30:16 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=PAYEMS | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\Nonfarm_Payrolls.parquet
2026-06-12 17:30:16 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMPMI | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMPMI.parquet
2026-06-12 17:30:16 | INFO | src.jobs_xlsx.get_macro_data | Macro data has been downloaded | symbol=NAPMNEWO | rows=677 | output_path=C:\Users\krm\PycharmProjects\AlternativeData\data_lake\raw\macro\USA\NAPMNEWO.parquet
